dimension,hidden_size,nn_fname,solver,algorithm,obj_mean,obj_min,obj_max,time_mean,time_min,time_max,num_seeds,num_timeout
2,16,nn_one_layer_ackley_2_16,scipy,basinhopping,18.610027885437013,14.872093200683594,22.100772857666016,2.6172465324401855,2.3626480102539062,2.8422091007232666,5,0
2,16,nn_one_layer_ackley_2_16,scipy,brute,8.816601753234863,8.816601753234863,8.816601753234863,2.6901827335357664,2.6370294094085693,2.785540819168091,5,0
2,16,nn_one_layer_ackley_2_16,scipy,differential_evolution,8.820140647888184,8.81826114654541,8.821816444396973,2.7571640491485594,2.6185779571533203,2.884643793106079,5,0
2,16,nn_one_layer_ackley_2_16,scipy,direct,8.816657066345215,8.816657066345215,8.816657066345215,5.665247297286987,5.461331367492676,5.771032810211182,5,0
2,16,nn_one_layer_ackley_2_16,scipy,dual_annealing,8.816619110107421,8.816604614257812,8.816645622253418,13.0397958278656,11.85279893875122,13.561691999435425,5,0
2,16,nn_one_layer_ackley_2_16,scipy,shgo,9.05265998840332,9.05265998840332,9.05265998840332,2.185508680343628,2.088338851928711,2.231487512588501,5,0
2,16,nn_one_layer_levy_2_16,scipy,basinhopping,0.07416013479232789,-0.551064133644104,2.3574509620666504,2.6128310203552245,2.535311222076416,2.794177532196045,5,0
2,16,nn_one_layer_levy_2_16,scipy,brute,-0.551064133644104,-0.551064133644104,-0.551064133644104,2.5927239894866942,2.5359573364257812,2.7064971923828125,5,0
2,16,nn_one_layer_levy_2_16,scipy,differential_evolution,-0.551064133644104,-0.551064133644104,-0.551064133644104,2.6215843677520754,2.5060575008392334,2.7607829570770264,5,0
2,16,nn_one_layer_levy_2_16,scipy,direct,-0.551064133644104,-0.551064133644104,-0.551064133644104,5.389430856704712,5.310929775238037,5.483335494995117,5,0
2,16,nn_one_layer_levy_2_16,scipy,dual_annealing,-0.551064133644104,-0.551064133644104,-0.551064133644104,10.616399812698365,10.55406641960144,10.687645196914673,5,0
2,16,nn_one_layer_levy_2_16,scipy,shgo,0.8156876564025879,0.8156876564025879,0.8156876564025879,2.0348230361938477,1.9716126918792725,2.0641355514526367,5,0
2,16,nn_one_layer_michalewicz_2_16,scipy,basinhopping,-5.013504612445831,-11.625060081481934,-0.9083686470985413,2.79304461479187,2.613723039627075,2.9877612590789795,5,0
2,16,nn_one_layer_michalewicz_2_16,scipy,brute,-1.663313388824463,-1.663313388824463,-1.663313388824463,2.670530366897583,2.5793802738189697,2.786837339401245,5,0
2,16,nn_one_layer_michalewicz_2_16,scipy,differential_evolution,-1.6596668243408204,-1.6625523567199707,-1.6541597843170166,2.8172371864318846,2.7407541275024414,2.9191391468048096,5,0
2,16,nn_one_layer_michalewicz_2_16,scipy,direct,-1.663329839706421,-1.663329839706421,-1.663329839706421,5.448661470413208,5.364601373672485,5.543658256530762,5,0
2,16,nn_one_layer_michalewicz_2_16,scipy,dual_annealing,-1.6632399559020996,-1.6633129119873047,-1.663093090057373,12.048436164855957,11.692758083343506,12.266315698623657,5,0
2,16,nn_one_layer_michalewicz_2_16,scipy,shgo,-1.0221073627471924,-1.0221073627471924,-1.0221073627471924,2.0464003562927244,1.9982550144195557,2.0936880111694336,5,0
10,16,nn_one_layer_ackley_10_16,scipy,basinhopping,20.925576782226564,20.460372924804688,21.53226089477539,4.12247223854065,4.105599641799927,4.134088516235352,5,0
10,16,nn_one_layer_ackley_10_16,scipy,differential_evolution,19.880501174926756,19.700565338134766,20.0797119140625,4.022107267379761,3.644547700881958,4.516781806945801,5,0
10,16,nn_one_layer_ackley_10_16,scipy,direct,19.37570571899414,19.37570571899414,19.37570571899414,2.244142246246338,2.206660270690918,2.275484800338745,5,0
10,16,nn_one_layer_ackley_10_16,scipy,dual_annealing,19.355136489868165,19.355060577392578,19.355220794677734,47.62856812477112,47.01930284500122,48.88251042366028,5,0
10,16,nn_one_layer_ackley_10_16,scipy,shgo,19.376041412353516,19.376041412353516,19.376041412353516,150.32020349502562,149.09149718284607,151.23393297195435,5,0
10,16,nn_one_layer_levy_10_16,scipy,basinhopping,4.35912857055664,-26.723833084106445,43.1275749206543,4.475704956054687,3.8635098934173584,5.609571218490601,5,0
10,16,nn_one_layer_levy_10_16,scipy,differential_evolution,-30.522525787353516,-30.522525787353516,-30.522525787353516,13.421977472305297,12.049700498580933,14.63676929473877,5,0
10,16,nn_one_layer_levy_10_16,scipy,direct,-30.522525787353516,-30.522525787353516,-30.522525787353516,20.49091968536377,20.284559726715088,20.63323664665222,5,0
10,16,nn_one_layer_levy_10_16,scipy,dual_annealing,-30.522525787353516,-30.522525787353516,-30.522525787353516,53.87299447059631,53.606409311294556,54.11561965942383,5,0
10,16,nn_one_layer_levy_10_16,scipy,shgo,-6.386991500854492,-6.386991500854492,-6.386991500854492,238.62791075706483,237.4417028427124,239.94518113136292,5,0
10,16,nn_one_layer_michalewicz_10_16,scipy,basinhopping,-4.866148591041565,-12.800858497619629,-1.6786588430404663,7.71779088973999,6.1488072872161865,9.666061639785767,5,0
10,16,nn_one_layer_michalewicz_10_16,scipy,differential_evolution,-3.2039145469665526,-3.2135181427001953,-3.1963024139404297,12.554803323745727,10.01102876663208,14.990302085876465,5,0
10,16,nn_one_layer_michalewicz_10_16,scipy,direct,-2.7564425468444824,-2.7564425468444824,-2.7564425468444824,2.942468690872192,2.910545587539673,2.967432975769043,5,0
10,16,nn_one_layer_michalewicz_10_16,scipy,dual_annealing,-3.2625476837158205,-3.262655735015869,-3.2623095512390137,48.129439449310304,47.52286672592163,48.85615658760071,5,0
10,16,nn_one_layer_michalewicz_10_16,scipy,shgo,-1.7054084539413452,-1.7054084539413452,-1.7054084539413452,160.52334413528442,148.01228880882263,165.1240303516388,5,0
